"Ensembl","GeneName","GSM776959","GSM776960","GSM776961","GSM776962","GSM776963","GSM776964","GSM776965","GSM776966","GSM776971","GSM776972","GSM776973","GSM776974"
"ENSG00000234078","DDR1","858.6","1088.8","552.9","356.7","467.2","623.9","426.9","288.7","318.7","431.2","618.3","488.9"
"ENSG00000230456","DDR1","858.6","1088.8","552.9","356.7","467.2","623.9","426.9","288.7","318.7","431.2","618.3","488.9"
"ENSG00000204580","DDR1","858.6","1088.8","552.9","356.7","467.2","623.9","426.9","288.7","318.7","431.2","618.3","488.9"
"ENSG00000215522","DDR1","858.6","1088.8","552.9","356.7","467.2","623.9","426.9","288.7","318.7","431.2","618.3","488.9"
"ENSG00000137332","DDR1","858.6","1088.8","552.9","356.7","467.2","623.9","426.9","288.7","318.7","431.2","618.3","488.9"
"ENSG00000049541","RFC2","227.6","241.3","224","247.2","158.9","130.6","164.1","187","183.8","113","121","130.9"
"ENSG00000225217","HSPA7","37.5","14.5","142.2","50.5","53.1","32.6","26.9","12.1","53.5","33.7","8.8","30.2"
"ENSG00000173110","HSPA6","37.5","14.5","142.2","50.5","53.1","32.6","26.9","12.1","53.5","33.7","8.8","30.2"
"ENSG00000125618","PAX8","272.1","279.6","134.6","384.6","359.5","375","190.8","312.9","231.5","275.9","318.4","349"
"ENSG00000048545","GUCA1A","60.7","114.4","259","77.6","14.5","27.4","22.8","16.3","4.7","16.1","57.2","2.4"
"ENSG00000283726","MIR5193","78.5","93.1","190","354.6","340.3","583.9","383.6","552.2","162.6","192.4","363.6","509.6"
"ENSG00000182179","UBA7","78.5","93.1","190","354.6","340.3","583.9","383.6","552.2","162.6","192.4","363.6","509.6"
"ENSG00000126351","THRA","107.3","97.2","75.8","221","82.7","91.8","96.3","73.1","79.6","77.5","162","80.1"
"ENSG00000070778","PTPN21","14.5","17.5","19.7","8.1","37.3","59","72.4","18.7","29.2","51.6","47.6","42.7"
"ENSG00000274233","CCL5","24","4.1","32.2","58.6","28.7","44.2","18","50.4","1.1","1.8","1.8","28.6"
"ENSG00000271503","CCL5","24","4.1","32.2","58.6","28.7","44.2","18","50.4","1.1","1.8","1.8","28.6"
"ENSG00000130649","CYP2E1","34.8","47.2","19.6","6.3","13.4","18.7","12.7","6.5","27","35.5","4","33.8"
"ENSG00000182580","EPHB3","11.1","90.1","27.3","25.7","33.4","9.5","45.6","17.4","30.6","57","5.8","45.6"
"ENSG00000215572","ESRRAP1","186.8","228.6","170.8","176.8","250","190.9","226.6","298.7","240.4","356.1","207.2","296.5"
"ENSG00000173153","ESRRA","186.8","228.6","170.8","176.8","250","190.9","226.6","298.7","240.4","356.1","207.2","296.5"
"ENSG00000255974","CYP2A6","26.8","68.9","41","26.3","34.4","43","14.7","56.7","37.9","52.2","79.3","59.4"
"ENSG00000198077","CYP2A7","26.8","68.9","41","26.3","34.4","43","14.7","56.7","37.9","52.2","79.3","59.4"
"ENSG00000183087","GAS6","752","1012.1","801.9","1234.6","3343.4","2334","4326.8","2664.8","1062.8","3230.9","6723.5","4003.2"
"ENSG00000157227","MMP14","74.4","190.5","48.6","98.7","273.2","107.1","231.4","301.3","434.3","940.7","415.1","790.3"
"ENSG00000102871","TRADD","202.4","423.7","385.3","559","287.9","316.6","400.7","301.7","448.7","453.2","553.9","389.2"
"ENSG00000075651","PLD1","65.9","67.4","94.9","98.4","59.4","77.4","46.1","68.7","74.8","83.3","65.4","66.9"
"ENSG00000257365","FNTB","35.5","109.6","71.6","62.2","103.1","28.5","43.1","84.1","43","110.6","25.3","123.4"
"ENSG00000125954","CHURC1-FNTB","35.5","109.6","71.6","62.2","103.1","28.5","43.1","84.1","43","110.6","25.3","123.4"
"ENSG00000265479","DTX2P1-UPK3BP1-PMS2P11","65.2","257","18.2","100.9","142.3","110.3","107.5","35.3","98.6","113","89.3","100.1"
"ENSG00000242435","UPK3BP1","65.2","257","18.2","100.9","142.3","110.3","107.5","35.3","98.6","113","89.3","100.1"
"ENSG00000002330","BAD","104.8","112.6","193.1","305.5","181","186.8","162.6","191.2","244.4","178.2","278.8","118.7"
"ENSG00000174231","PRPF8","1268.7","1343.4","1626.4","1237.4","882.7","1162.7","1434.8","866.3","1049.8","1073.8","1091.5","1380"
"ENSG00000274442","PRPF8","1268.7","1343.4","1626.4","1237.4","882.7","1162.7","1434.8","866.3","1049.8","1073.8","1091.5","1380"
"ENSG00000126247","CAPNS1","851.2","946.4","1326.7","1941","3667.3","2898.6","3160.6","3682","1759.9","2857.8","3161.5","3887.5"
"ENSG00000136942","RPL35","7594.1","10187.6","9019.1","9526.8","5979.4","7211.4","4746.4","6182","4969.3","3739","11229.9","5105.8"
"ENSG00000108107","RPL28","4724.3","8801.2","14429.6","14786.9","7085.7","15275.1","7626.8","5297.5","12839.5","6271.3","21581","7028.4"
"ENSG00000110321","EIF4G2","10594.9","10469.6","9261.3","8984.6","10343.1","10298.6","9971.5","9967.6","10776.5","10634.8","10306.7","10047.7"
"ENSG00000100353","EIF3D","1779.2","4420.4","3904.8","3859.6","2809.3","4430.8","4890.8","3305.6","4137.8","4024.9","4026.4","3257.8"
"ENSG00000116288","PARK7","13403.9","13996","9195.4","10125","13682.6","11732.5","8754.7","12890.2","11447.1","10495.5","14219","10719.9"
"ENSG00000140319","SRP14","7481.1","10101.8","8314.1","8627.5","6963.1","8242.2","6707","7112.3","10414.5","8488.4","12687.8","5951.9"
"ENSG00000057608","GDI2","977.1","1009.2","625","286.3","1299.7","634.3","1061.1","1457.9","864.3","1193.2","383.9","1318"
"ENSG00000142676","RPL11","5974.6","10524.6","10690.2","11239","5737.3","7783.8","6316.4","5858.6","8803.8","4428","10582.8","3977.1"
"ENSG00000134287","ARF3","1943","2852.3","1670.9","1993.9","2010.5","1089.3","1892","1714.6","1554","1749.1","1335.7","1745.6"
"ENSG00000207051","SNORA27","12029.4","16650.4","12594.7","12816.7","9640.6","11250.3","8564","9524.5","11905.7","7911","19138.1","8580.7"
"ENSG00000239470","AC011979.1","12029.4","16650.4","12594.7","12816.7","9640.6","11250.3","8564","9524.5","11905.7","7911","19138.1","8580.7"
"ENSG00000220749","RPL21P28","12029.4","16650.4","12594.7","12816.7","9640.6","11250.3","8564","9524.5","11905.7","7911","19138.1","8580.7"
"ENSG00000220793","RPL21P119","12029.4","16650.4","12594.7","12816.7","9640.6","11250.3","8564","9524.5","11905.7","7911","19138.1","8580.7"
"ENSG00000214760","RPL21P1","12029.4","16650.4","12594.7","12816.7","9640.6","11250.3","8564","9524.5","11905.7","7911","19138.1","8580.7"
"ENSG00000244021","AC093591.1","12029.4","16650.4","12594.7","12816.7","9640.6","11250.3","8564","9524.5","11905.7","7911","19138.1","8580.7"
"ENSG00000242571","RPL21P11","12029.4","16650.4","12594.7","12816.7","9640.6","11250.3","8564","9524.5","11905.7","7911","19138.1","8580.7"
"ENSG00000229605","RPL21P93","12029.4","16650.4","12594.7","12816.7","9640.6","11250.3","8564","9524.5","11905.7","7911","19138.1","8580.7"
"ENSG00000243181","AC087343.1","12029.4","16650.4","12594.7","12816.7","9640.6","11250.3","8564","9524.5","11905.7","7911","19138.1","8580.7"
"ENSG00000213860","RPL21P75","12029.4","16650.4","12594.7","12816.7","9640.6","11250.3","8564","9524.5","11905.7","7911","19138.1","8580.7"
"ENSG00000122026","RPL21","12029.4","16650.4","12594.7","12816.7","9640.6","11250.3","8564","9524.5","11905.7","7911","19138.1","8580.7"
"ENSG00000220842","RPL21P16","12029.4","16650.4","12594.7","12816.7","9640.6","11250.3","8564","9524.5","11905.7","7911","19138.1","8580.7"
"ENSG00000181524","RPL24P4","8096.6","9968.4","8650.4","9063","5975.6","7728.3","7938.2","6271.9","11615.5","5784.3","14542.9","5723.2"
"ENSG00000114391","RPL24","8096.6","9968.4","8650.4","9063","5975.6","7728.3","7938.2","6271.9","11615.5","5784.3","14542.9","5723.2"
"ENSG00000204253","HNRNPCP2","4908","4915.8","5014.8","3603.7","3958.7","3862.8","3434.3","4930.6","3916.4","3238.1","2628.7","3357.1"
"ENSG00000092199","HNRNPC","4908","4915.8","5014.8","3603.7","3958.7","3862.8","3434.3","4930.6","3916.4","3238.1","2628.7","3357.1"
"ENSG00000168385","SEPT2","13867.5","9299.9","7394","10279.6","12991.9","9246.7","8058.5","11510.4","10325.9","9963","12353.2","10200"
"ENSG00000225695","HNRNPA1P35","27981.7","23246.9","16491.8","16700.2","15207.2","15336.6","11832.4","16859","17199","15608.7","18473.7","13813.7"
"ENSG00000215492","HNRNPA1P7","27981.7","23246.9","16491.8","16700.2","15207.2","15336.6","11832.4","16859","17199","15608.7","18473.7","13813.7"
"ENSG00000135486","HNRNPA1","27981.7","23246.9","16491.8","16700.2","15207.2","15336.6","11832.4","16859","17199","15608.7","18473.7","13813.7"
"ENSG00000206228","HNRNPA1P4","27981.7","23246.9","16491.8","16700.2","15207.2","15336.6","11832.4","16859","17199","15608.7","18473.7","13813.7"
"ENSG00000143947","RPS27A","10707","16073.7","13856.2","14981.8","8251.4","11286.7","7756.2","9342.8","12560.4","7366.5","14410.7","5734.8"
"ENSG00000224631","RPS27AP16","10707","16073.7","13856.2","14981.8","8251.4","11286.7","7756.2","9342.8","12560.4","7366.5","14410.7","5734.8"
"ENSG00000228929","RPS13P2","16470.7","18914","13797.6","17187","13231.4","14046.9","10399","12849","13974.8","10734.8","20048.3","11753.4"
"ENSG00000110700","RPS13","16470.7","18914","13797.6","17187","13231.4","14046.9","10399","12849","13974.8","10734.8","20048.3","11753.4"
"ENSG00000162298","SYVN1","8825.4","16721.1","13522.5","16182.4","9580.6","11206.1","9916.8","10330.6","15622.4","9981","20818","9389.9"
"ENSG00000149806","FAU","8825.4","16721.1","13522.5","16182.4","9580.6","11206.1","9916.8","10330.6","15622.4","9981","20818","9389.9"
"ENSG00000120948","TARDBP","5700.1","6070","3792.6","3097.9","4215.8","3447.3","3484","4401.9","2933.2","3438","1959.5","3106.6"
"ENSG00000172757","CFL1","13184","13522.7","7312.9","10215.7","19137.3","13100.8","12083.1","17560.9","10291.2","14787.5","26307.4","13518.5"
"ENSG00000063177","RPL18","7543.4","11344","13007.1","12477.1","6506.2","11248.3","7641.7","5516.2","11079.7","5855.6","14520.6","5484.9"
"ENSG00000233426","EIF3FP3","7915.4","10671.4","10124.9","9573.1","8510.1","12040.5","9078.5","7449","11406.7","8652.9","17836","10818.3"
"ENSG00000280606","EIF3F","7915.4","10671.4","10124.9","9573.1","8510.1","12040.5","9078.5","7449","11406.7","8652.9","17836","10818.3"
"ENSG00000175390","EIF3F","7915.4","10671.4","10124.9","9573.1","8510.1","12040.5","9078.5","7449","11406.7","8652.9","17836","10818.3"
"ENSG00000083845","RPS5","7339","11424.6","10915.4","12658.1","6434.5","9965","7443.8","6493.9","8864.5","5903.9","14179.2","6666.1"
"ENSG00000131469","RPL27","18035.9","17762.9","12758","17076.7","13603.2","13588","10167.1","13154.6","14691.6","10385.2","21306.4","11220.9"
"ENSG00000109475","RPL34","4350.1","12734.1","12804.6","15956.9","4801.8","12735.2","12161.5","9128.7","10433.7","6601.8","10234.4","8489.8"
"ENSG00000134440","NARS","8156.6","5965.4","4952.9","5104.9","9706.7","8305","5984.9","8669.9","6328","7299.9","6638.4","7770.4"
"ENSG00000084090","STARD7","5203.5","4237.9","2915.5","2753.8","3480.6","2716.4","3145.8","4096.8","2297.3","3314.8","1659.1","2849.9"
"ENSG00000108298","RPL19","10232.3","17491.9","15056.3","17091.2","8818.5","15135.2","11846.8","8570.4","12589.5","9247.3","19452.7","8929.7"
"ENSG00000075415","SLC25A3","9389.2","11462.4","7678.5","7485.4","12080.1","9624.8","10293.4","12575","9964.7","10263.7","11344.3","10285.9"
"ENSG00000142534","RPS11","16331.8","21809.9","19380.7","21365.8","14791.3","17237.4","13530.3","14613.9","20570.7","16396.7","32115.4","15764.8"
"ENSG00000237550","RPL9P9","29562.7","26856.2","17325.5","21591.4","17498.5","16720","12224.1","19034.9","18558.5","14826","21549.6","16918.5"
"ENSG00000238103","RPL9P7","29562.7","26856.2","17325.5","21591.4","17498.5","16720","12224.1","19034.9","18558.5","14826","21549.6","16918.5"
"ENSG00000163682","RPL9","29562.7","26856.2","17325.5","21591.4","17498.5","16720","12224.1","19034.9","18558.5","14826","21549.6","16918.5"
"ENSG00000273673","RPL9P9","29562.7","26856.2","17325.5","21591.4","17498.5","16720","12224.1","19034.9","18558.5","14826","21549.6","16918.5"
"ENSG00000108654","DDX5","14249.6","11073.1","8181.5","8130.3","8736.3","6961.5","7569.5","9030.3","11540.9","9259.2","10874.5","7482"
"ENSG00000284564","MIR3064","14249.6","11073.1","8181.5","8130.3","8736.3","6961.5","7569.5","9030.3","11540.9","9259.2","10874.5","7482"
"ENSG00000235552","RPL6P27","18674.9","20453.7","12847","13754.5","13144.1","10893.8","10862.5","12129.8","14934.8","12456.1","17166.8","11985.9"
"ENSG00000089009","RPL6","18674.9","20453.7","12847","13754.5","13144.1","10893.8","10862.5","12129.8","14934.8","12456.1","17166.8","11985.9"
"ENSG00000230383","AC009245.1","18674.9","20453.7","12847","13754.5","13144.1","10893.8","10862.5","12129.8","14934.8","12456.1","17166.8","11985.9"
"ENSG00000243199","AC115223.1","18674.9","20453.7","12847","13754.5","13144.1","10893.8","10862.5","12129.8","14934.8","12456.1","17166.8","11985.9"
"ENSG00000175826","CTDNEP1","226.8","348.2","255.1","329.9","406.8","388.2","549.1","356.3","402.6","576.9","445.6","504.3"
"ENSG00000226360","RPL10AP6","9649.9","11990.6","12000.8","10741.8","6243.1","10878.7","7520.1","5274.5","9398.8","5684.4","11234.9","5550.6"
"ENSG00000198755","RPL10A","9649.9","11990.6","12000.8","10741.8","6243.1","10878.7","7520.1","5274.5","9398.8","5684.4","11234.9","5550.6"
"ENSG00000122565","CBX3","10339","7989.1","7840.4","7175.2","6668.3","6999.2","4902.7","6365.4","7241.5","5928","5532.8","5340.9"
"ENSG00000212664","AC064799.1","14739.8","16956","14224.8","15666.6","11700.3","14081.5","9378.6","10811.1","14477","10370.6","17662.8","11130.5"
"ENSG00000244716","BX679664.3","14739.8","16956","14224.8","15666.6","11700.3","14081.5","9378.6","10811.1","14477","10370.6","17662.8","11130.5"
"ENSG00000265681","RPL17","14739.8","16956","14224.8","15666.6","11700.3","14081.5","9378.6","10811.1","14477","10370.6","17662.8","11130.5"
"ENSG00000215472","RPL17-C18orf32","14739.8","16956","14224.8","15666.6","11700.3","14081.5","9378.6","10811.1","14477","10370.6","17662.8","11130.5"
"ENSG00000206602","SNORD58A","14739.8","16956","14224.8","15666.6","11700.3","14081.5","9378.6","10811.1","14477","10370.6","17662.8","11130.5"
"ENSG00000226084","AC113935.1","14739.8","16956","14224.8","15666.6","11700.3","14081.5","9378.6","10811.1","14477","10370.6","17662.8","11130.5"
"ENSG00000126067","PSMB2","1419.1","3409.4","2533.8","1967.1","2636.4","3612.6","4521.2","3167","4450.9","4039.5","4256.2","3793.9"
"ENSG00000121774","KHDRBS1","7228.1","7129.6","4200.9","5072.4","4477.5","4354.3","2119.7","3811.6","4965.7","3311.4","4075.4","3710.3"
"ENSG00000229496","DDX39B","3914.2","4815.4","4130.5","4010.5","3669.7","2880.2","3587.2","3985.2","3069.5","3818.7","3845","4313.7"
"ENSG00000215425","DDX39B","3914.2","4815.4","4130.5","4010.5","3669.7","2880.2","3587.2","3985.2","3069.5","3818.7","3845","4313.7"
"ENSG00000198563","DDX39B","3914.2","4815.4","4130.5","4010.5","3669.7","2880.2","3587.2","3985.2","3069.5","3818.7","3845","4313.7"
"ENSG00000237889","DDX39B","3914.2","4815.4","4130.5","4010.5","3669.7","2880.2","3587.2","3985.2","3069.5","3818.7","3845","4313.7"
"ENSG00000235439","DDX39B","3914.2","4815.4","4130.5","4010.5","3669.7","2880.2","3587.2","3985.2","3069.5","3818.7","3845","4313.7"
"ENSG00000225859","DDX39B","3914.2","4815.4","4130.5","4010.5","3669.7","2880.2","3587.2","3985.2","3069.5","3818.7","3845","4313.7"
"ENSG00000254870","ATP6V1G2-DDX39B","3914.2","4815.4","4130.5","4010.5","3669.7","2880.2","3587.2","3985.2","3069.5","3818.7","3845","4313.7"
"ENSG00000225073","DDX39B","3914.2","4815.4","4130.5","4010.5","3669.7","2880.2","3587.2","3985.2","3069.5","3818.7","3845","4313.7"
"ENSG00000230624","DDX39B","3914.2","4815.4","4130.5","4010.5","3669.7","2880.2","3587.2","3985.2","3069.5","3818.7","3845","4313.7"
"ENSG00000254899","BX248516.1","3914.2","4815.4","4130.5","4010.5","3669.7","2880.2","3587.2","3985.2","3069.5","3818.7","3845","4313.7"
"ENSG00000100220","RTCB","1266.3","2139.9","1768.3","1732.6","1758.4","2112.1","1789.7","2280.8","2013.1","1929.1","1562","2213.4"
"ENSG00000100632","ERH","3659.3","2936.7","1259.9","1235.1","3208.9","1141.7","1503.7","6417.5","4172.9","3169.7","2292.1","3833.1"
"ENSG00000111786","SRSF9","2419.2","2165.6","1303.3","1466.5","2331.7","1051.5","1624.2","4089.6","2733.6","2161.4","1724.4","2249.1"
"ENSG00000236342","ABCF1","1024","1328.2","838.7","839.7","1330.6","1160.1","1151.7","1511.1","1325.1","1567.4","1199.2","1607.3"
"ENSG00000232169","ABCF1","1024","1328.2","838.7","839.7","1330.6","1160.1","1151.7","1511.1","1325.1","1567.4","1199.2","1607.3"
"ENSG00000236149","ABCF1","1024","1328.2","838.7","839.7","1330.6","1160.1","1151.7","1511.1","1325.1","1567.4","1199.2","1607.3"
"ENSG00000206490","ABCF1","1024","1328.2","838.7","839.7","1330.6","1160.1","1151.7","1511.1","1325.1","1567.4","1199.2","1607.3"
"ENSG00000231129","ABCF1","1024","1328.2","838.7","839.7","1330.6","1160.1","1151.7","1511.1","1325.1","1567.4","1199.2","1607.3"
"ENSG00000204574","ABCF1","1024","1328.2","838.7","839.7","1330.6","1160.1","1151.7","1511.1","1325.1","1567.4","1199.2","1607.3"
"ENSG00000225989","ABCF1","1024","1328.2","838.7","839.7","1330.6","1160.1","1151.7","1511.1","1325.1","1567.4","1199.2","1607.3"
"ENSG00000129562","DAD1","3982.9","4844.7","5761.7","6094.6","5479","5371.8","6192","5874","6626.1","7466.3","7182.8","6658.9"
"ENSG00000283840","MIR6764","8100.8","5148.8","4606.7","3964.5","5690.3","5234.1","3188.4","5539.3","5410.9","4407.5","4471.4","4540.5"
"ENSG00000100811","YY1","8100.8","5148.8","4606.7","3964.5","5690.3","5234.1","3188.4","5539.3","5410.9","4407.5","4471.4","4540.5"
"ENSG00000143543","JTB","5774","6685.4","7340.7","8317.1","7511","10293.5","7527.7","7161","8290.1","6701.7","12279.5","6618.6"
"ENSG00000136504","KAT7","339.2","415.1","257.7","206","218.3","215.1","295.6","262.4","127.9","256.2","152.9","250.4"
"ENSG00000167635","ZNF146","2795.6","2081","2001.9","1489.2","2501.1","1897.2","2063.5","2093.3","2758.5","1835.1","1340.5","1521.1"
"ENSG00000175467","SART1","487.1","527.1","621.1","893.6","568.1","665.5","702","838.5","696.8","559.9","1012.5","561.9"
"ENSG00000143621","ILF2","2040.4","2650.8","1679.8","1248.5","1761.2","1448","1814","1839.7","2509","2119.7","1293.8","1872.8"
"ENSG00000091640","SPAG7","540.1","798.3","890.9","984.6","913.5","653.5","1052","1006.8","1140.5","1342.1","928.5","1134.3"
"ENSG00000109917","ZPR1","461.7","669.3","364.2","295.3","555.5","515","545.8","430.3","518.7","328.2","640.6","426.3"
"ENSG00000166337","TAF10","754.9","1563.1","1637.4","1794.7","1434.6","3034.5","2326.6","1365.4","3003.4","2050","5953.4","1582.3"
"ENSG00000285338","AC091564.7","754.9","1563.1","1637.4","1794.7","1434.6","3034.5","2326.6","1365.4","3003.4","2050","5953.4","1582.3"
"ENSG00000231245","C1DP1","928.5","579.5","1266","729.8","921.9","612.6","803.6","930","898.2","913.9","523.6","849.2"
"ENSG00000197223","C1D","928.5","579.5","1266","729.8","921.9","612.6","803.6","930","898.2","913.9","523.6","849.2"
"ENSG00000147140","NONO","10804.5","11234.3","6794.8","6181.7","9090.2","7121.9","6283.8","9131.1","7930.3","10051","7332.2","8244.3"
"ENSG00000260290","AC092115.1","10804.5","11234.3","6794.8","6181.7","9090.2","7121.9","6283.8","9131.1","7930.3","10051","7332.2","8244.3"
"ENSG00000144028","SNRNP200","3862.8","3791.3","3069.7","2881.6","2495.8","2911.8","2138","2045.3","2200.5","2275.2","1965.2","2223.2"
"ENSG00000067560","RHOA","6876.8","8344.5","8328.4","8501.6","10758.3","10157.9","10398.1","12196.9","8626.8","10258","9935.1","11938.1"
"ENSG00000250896","RNPS1P1","1337.7","1576.9","750.4","605.2","1123.1","770.8","1551.2","1526.8","1530.4","1768.8","1293.6","1444.8"
"ENSG00000205937","RNPS1","1337.7","1576.9","750.4","605.2","1123.1","770.8","1551.2","1526.8","1530.4","1768.8","1293.6","1444.8"
"ENSG00000138326","RPS24","10915.7","12290.5","9648.1","9935.2","6924.6","7068","6647.3","7308.6","8580.8","5770.4","13382.8","6613.6"
"ENSG00000156482","RPL30","26788.3","26507.8","16936.8","18353.9","21006.4","16712.7","15728.7","17977.5","18286.3","16242.4","27431","17576.9"
"ENSG00000213881","NPM1P6","27713.5","21553.7","13299","15021.9","15512.5","13496.5","10421.4","13361.9","14073.5","12871.1","17631.6","11173.3"
"ENSG00000181163","NPM1","27713.5","21553.7","13299","15021.9","15512.5","13496.5","10421.4","13361.9","14073.5","12871.1","17631.6","11173.3"
"ENSG00000213443","AC007068.1","27713.5","21553.7","13299","15021.9","15512.5","13496.5","10421.4","13361.9","14073.5","12871.1","17631.6","11173.3"
"ENSG00000249353","NPM1P27","27713.5","21553.7","13299","15021.9","15512.5","13496.5","10421.4","13361.9","14073.5","12871.1","17631.6","11173.3"
"ENSG00000069493","CLEC2D","27713.5","21553.7","13299","15021.9","15512.5","13496.5","10421.4","13361.9","14073.5","12871.1","17631.6","11173.3"
"ENSG00000096384","HSP90AB1","4065.6","6750.8","5582.6","5834.6","5270.7","3930","5486.8","5966.6","5087.9","7112.5","2875.9","5951.3"
"ENSG00000143761","ARF1","3859.3","5145.4","4477.3","4548.3","9592.5","5794","7758.8","10054.4","8165.1","8477.6","7831.9","8885.8"
"ENSG00000113141","IK","2194.1","2646.6","2426.5","2980.4","2155.1","2221.2","1674.1","1800","2456.1","2376","1488.1","1544.5"
"ENSG00000112335","SNX3","4530.5","6838.7","6056.4","7229.8","6020.8","5454.1","4785.4","6292.9","5897.3","5517.1","5016.9","5795.1"
"ENSG00000127022","CANX","9691.6","7124.6","7417.6","9974.6","10633.8","8254.7","7828","10626.6","8023","8838.1","7603.4","8818.8"
"ENSG00000283777","CANX","9691.6","7124.6","7417.6","9974.6","10633.8","8254.7","7828","10626.6","8023","8838.1","7603.4","8818.8"
"ENSG00000115649","CNPPD1","258.4","660.9","332.1","532.3","313.4","377.6","642.7","370.6","306.2","384.1","426.5","484.7"
"ENSG00000119953","SMNDC1","1446.7","1399.4","2549.1","2665.7","1304.4","2396.7","1995.5","1563","2212.3","1966.2","1346.9","1557.6"
"ENSG00000099783","HNRNPM","5196.8","4553.7","6081.9","4727.8","4670.2","3485.9","3832.6","5830.6","2988.9","3483.2","1992.5","3196.4"
"ENSG00000138668","HNRNPD","6998.9","5605.5","6160.3","6077.8","3971.7","3840.8","3460.1","4310.9","5431.9","3401.6","3204.3","3062.7"
"ENSG00000139239","RPL14P1","7404.8","11276","9813.1","9540.2","7831.3","8928.2","6725.5","6867.3","9778.9","6152.6","9738.6","6186.2"
"ENSG00000188846","RPL14","7404.8","11276","9813.1","9540.2","7831.3","8928.2","6725.5","6867.3","9778.9","6152.6","9738.6","6186.2"
"ENSG00000143774","GUK1","775.1","1210","1966.1","1945.4","1472.4","2006","2271.8","1597.2","1917.8","1902.5","2596.6","1765.5"
"ENSG00000105700","KXD1","212.8","445.2","351.5","449.6","338.5","462.7","542.4","434.6","629.7","521.7","599.6","406.2"
"ENSG00000104904","OAZ1","8959.9","11377.3","9791.8","10851.6","11586.7","9959","9226.4","11056.3","11318.1","10062.2","16533.3","10442"
"ENSG00000117410","ATP6V0B","624.4","946.9","1112.2","1222.8","857.9","896","1559.6","1216.9","1656.5","1586.5","1031.3","1201.6"
"ENSG00000065427","KARS","2201.5","3431.8","2681.1","1906.1","2430.4","3437.4","3140.4","2063.5","2096.1","2407.1","2001.8","2411.2"
"ENSG00000178458","H3F3AP6","18573.4","15126.8","11482","13361.2","8259","9595.4","7820.6","8215.3","11102.1","8495","11932.8","7142"
"ENSG00000235655","H3F3AP4","18573.4","15126.8","11482","13361.2","8259","9595.4","7820.6","8215.3","11102.1","8495","11932.8","7142"
"ENSG00000163041","H3F3A","18573.4","15126.8","11482","13361.2","8259","9595.4","7820.6","8215.3","11102.1","8495","11932.8","7142"
"ENSG00000137154","RPS6","11011.3","16041.8","12482.6","14838.8","13119.1","7648.5","9766.7","14745.3","14715.8","9854.5","14398.1","11585.3"
"ENSG00000232176","AL161909.1","11011.3","16041.8","12482.6","14838.8","13119.1","7648.5","9766.7","14745.3","14715.8","9854.5","14398.1","11585.3"
"ENSG00000263266","RPS7P1","2531.1","4947.7","4952.6","3840","2007.2","3228.8","2972.1","3102.5","4367.9","2344.8","5815.7","2804.7"
"ENSG00000171863","RPS7","2531.1","4947.7","4952.6","3840","2007.2","3228.8","2972.1","3102.5","4367.9","2344.8","5815.7","2804.7"
"ENSG00000282052","RPS7P11","2531.1","4947.7","4952.6","3840","2007.2","3228.8","2972.1","3102.5","4367.9","2344.8","5815.7","2804.7"
"ENSG00000213326","RPS7P11","2531.1","4947.7","4952.6","3840","2007.2","3228.8","2972.1","3102.5","4367.9","2344.8","5815.7","2804.7"
"ENSG00000124422","USP22","1479","1435.6","2026.7","2414.1","1802.8","2187.5","2012","1966.4","1873.9","2145.6","1346.8","1873.4"
"ENSG00000110696","C11orf58","4942.3","3886.7","4918.1","4613","4868","3802.5","4374.6","5680.6","5144.4","5001.2","3741.3","4851.7"
"ENSG00000259137","AL109766.1","4942.3","3886.7","4918.1","4613","4868","3802.5","4374.6","5680.6","5144.4","5001.2","3741.3","4851.7"
"ENSG00000103363","ELOB","1286.5","1900.6","3462.8","3733.3","1575.7","3948.2","1999.9","1554.3","3875.6","2289.3","7396.3","2300.5"
"ENSG00000131143","COX4I1","4727.9","6199.1","5764.9","6128.4","4457.4","5564.9","4112.7","3941.2","6411.7","5456.4","6188.7","4355.6"
"ENSG00000086598","TMED2","5578.1","3492.2","3690.9","4844.7","5270","4452.2","4121.4","7191.4","5032","5215.7","4856.5","6176.5"
"ENSG00000144426","NBEAL1","14479.8","22762.6","16536","19675.4","14124.4","17604.1","12825.5","13463.3","17201.5","12790.1","26424.2","12656.3"
"ENSG00000185834","RPL12P4","14479.8","22762.6","16536","19675.4","14124.4","17604.1","12825.5","13463.3","17201.5","12790.1","26424.2","12656.3"
"ENSG00000204196","RPL12P16","14479.8","22762.6","16536","19675.4","14124.4","17604.1","12825.5","13463.3","17201.5","12790.1","26424.2","12656.3"
"ENSG00000197958","RPL12","14479.8","22762.6","16536","19675.4","14124.4","17604.1","12825.5","13463.3","17201.5","12790.1","26424.2","12656.3"
"ENSG00000174444","RPL4","10465.2","15494.3","12577.5","14060.3","10179.9","11980.9","9933.4","10150.6","13667","9329.6","14568.8","9800.7"
"ENSG00000229638","RPL4P4","10465.2","15494.3","12577.5","14060.3","10179.9","11980.9","9933.4","10150.6","13667","9329.6","14568.8","9800.7"
"ENSG00000232341","RPL4P2","10465.2","15494.3","12577.5","14060.3","10179.9","11980.9","9933.4","10150.6","13667","9329.6","14568.8","9800.7"
"ENSG00000263127","RPL4P5","10465.2","15494.3","12577.5","14060.3","10179.9","11980.9","9933.4","10150.6","13667","9329.6","14568.8","9800.7"
